,complaint_date,offense,borough,category,victim_age_group,victim_sex
17807,2023-01-18,HARRASSMENT 2,MANHATTAN,VIOLATION,25-44,M
17808,2023-01-08,HARRASSMENT 2,BROOKLYN,VIOLATION,25-44,F
17809,2023-01-09,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,MISDEMEANOR,18-24,F
17810,2023-01-31,DANGEROUS DRUGS,MANHATTAN,MISDEMEANOR,UNKNOWN,E
17811,2023-01-30,OFF. AGNST PUB ORD SENSBLTY &,BROOKLYN,MISDEMEANOR,18-24,F
17812,2023-01-03,GRAND LARCENY,BROOKLYN,FELONY,45-64,F
17813,2023-01-12,BURGLARY,BROOKLYN,FELONY,45-64,M
17814,2023-01-09,ROBBERY,BROOKLYN,FELONY,18-24,M
17815,2023-01-10,ASSAULT 3 & RELATED OFFENSES,MANHATTAN,MISDEMEANOR,25-44,F
17816,2023-01-04,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,MISDEMEANOR,<18,F
17817,2023-01-26,DANGEROUS DRUGS,MANHATTAN,MISDEMEANOR,25-44,F
17818,2023-01-17,PETIT LARCENY,BROOKLYN,MISDEMEANOR,<18,F
17819,2023-01-18,OFF. AGNST PUB ORD SENSBLTY &,BROOKLYN,MISDEMEANOR,45-64,F
17820,2023-01-26,GRAND LARCENY,BROOKLYN,FELONY,45-64,F
17821,2023-01-28,CRIMINAL MISCHIEF & RELATED OF,MANHATTAN,MISDEMEANOR,UNKNOWN,D
17822,2023-01-31,HARRASSMENT 2,BROOKLYN,VIOLATION,45-64,F
17823,2023-01-21,PETIT LARCENY,BROOKLYN,MISDEMEANOR,25-44,M
17824,2023-01-25,PETIT LARCENY,BROOKLYN,MISDEMEANOR,UNKNOWN,D
17825,2023-01-07,HARRASSMENT 2,BROOKLYN,VIOLATION,65+,M
17826,2023-01-22,FELONY ASSAULT,BROOKLYN,FELONY,25-44,F
17827,2023-01-01,HARRASSMENT 2,BROOKLYN,VIOLATION,18-24,M
17828,2023-01-03,ADMINISTRATIVE CODE,MANHATTAN,MISDEMEANOR,25-44,M
17829,2023-01-04,PETIT LARCENY,MANHATTAN,MISDEMEANOR,45-64,F
17830,2023-01-12,MISCELLANEOUS PENAL LAW,MANHATTAN,FELONY,45-64,F
17831,2023-01-24,HARRASSMENT 2,MANHATTAN,VIOLATION,25-44,F
17832,2023-01-03,OFFENSES AGAINST PUBLIC ADMINI,BROOKLYN,MISDEMEANOR,UNKNOWN,E
17833,2023-01-12,DANGEROUS WEAPONS,MANHATTAN,FELONY,UNKNOWN,E
17834,2023-01-13,GRAND LARCENY,BROOKLYN,FELONY,18-24,F
17835,2023-01-19,VEHICLE AND TRAFFIC LAWS,MANHATTAN,MISDEMEANOR,<18,F
17836,2023-01-19,OFFENSES INVOLVING FRAUD,BROOKLYN,MISDEMEANOR,UNKNOWN,E
17837,2023-01-31,FORGERY,BROOKLYN,FELONY,UNKNOWN,D
